id,title,game,dateposted
OCR03206,"Birth Under a Blue Light","Final Fantasy IX",2015-09-09
OCR00975,"Black Magic Synthesis","Final Fantasy IX",2003-04-27
OCR03510,"Craic in the Castle Walls","Final Fantasy IX",2017-03-09
OCR03210,"Crystalline Tempest","Final Fantasy IX",2015-09-09
OCR00814,"dubnofantasyaloneman","Final Fantasy IX",2002-10-20
OCR03508,"Exploda","Final Fantasy IX",2017-03-06
OCR03394,"Filtering Through the Memories","Final Fantasy IX",2016-07-27
OCR03516,"Fixations","Final Fantasy IX",2017-03-20
OCR03207,"Four Score and Six-Eight","Final Fantasy IX",2015-09-09
OCR03209,"Ground Zero","Final Fantasy IX",2015-09-09
OCR01267,"Hunter's Community Chest","Final Fantasy IX",2004-11-14
OCR01113,"Hunter's Etude-Scherzo","Final Fantasy IX",2004-01-31
OCR00575,"Jamming Loneliness","Final Fantasy IX",2002-03-24
OCR03205,"Late Night Lindblum","Final Fantasy IX",2015-09-09
OCR00484,"Losing Me Is Not an Option","Final Fantasy IX",2001-12-22
OCR03526,"March of Robbers in Treno City","Final Fantasy IX",2017-04-06
OCR00152,"Melodies of Life (Arranged)","Final Fantasy IX",2000-10-23
OCR01238,"Messenger in the Key of Black","Final Fantasy IX",2004-08-29
OCR03204,"Miles and Miles Away","Final Fantasy IX",2015-09-09
OCR03441,"Não Está Sozinho","Final Fantasy IX",2016-10-24
OCR03477,"Our Darkest Dreams","Final Fantasy IX",2017-01-04
OCR00320,"Place of Return","Final Fantasy IX",2001-04-15
OCR03556,"Prelude to Fantasy","Final Fantasy IX",2017-06-12
OCR00512,"Qu's Marsh (Swamp Rat)","Final Fantasy IX",2002-01-24
OCR00795,"Rose of April","Final Fantasy IX",2002-10-02
OCR00656,"Safety in Numbers","Final Fantasy IX",2002-05-25
OCR01227,"Shepherd Won't Alone","Final Fantasy IX",2004-08-06
OCR00872,"the battle of strings and a cellphone","Final Fantasy IX",2002-12-12
OCR03550,"The Fallen Savior","Final Fantasy IX",2017-05-30
OCR03357,"The Journey Home","Final Fantasy IX",2016-05-23
OCR01859,"The Rose General","Final Fantasy IX",2009-06-19
OCR03544,"The Throes of Death(guise)","Final Fantasy IX",2017-05-15
OCR02249,"Weeping Shards","Final Fantasy IX",2011-06-08
OCR01064,"You Are Not Confined","Final Fantasy IX",2003-10-31
OCR03404,"Zaghnol Comes","Final Fantasy IX",2016-08-10
OCR03212,"Zero World","Final Fantasy IX",2015-09-09
OCR02040,"Craving for Burning Blood","Final Fantasy Legend II",2010-05-27
OCR02947,"Gift of the MAGI","Final Fantasy Legend II",2014-07-31
OCR02252,"Heroes","Final Fantasy Legend II",2011-06-12
OCR01448,"And He Returned Home","Final Fantasy Mystic Quest",2006-01-25
OCR00902,"Mystic Mountain (2LATE Mix)","Final Fantasy Mystic Quest",2003-01-16
OCR02953,"Mystical Mist","Final Fantasy Mystic Quest",2014-08-11
OCR03166,"Finding Somebody to Love in This Meager World","Final Fantasy Tactics",2015-06-24
OCR01035,"In Mem'ry of Sir Anthony (A March Through the Plains)","Final Fantasy Tactics",2003-09-04
OCR00721,"Teach Me How to Rave","Final Fantasy Tactics",2002-07-26
OCR02838,"Gods and Crystals","Final Fantasy Type-0",2014-02-20
OCR02230,"A Healer's Touch","Final Fantasy V",2011-04-25
OCR03339,"A Silver Light Shines","Final Fantasy V",2016-04-25
OCR02850,"Boss Key","Final Fantasy V",2014-03-14
OCR03341,"BZKR","Final Fantasy V",2016-04-25
OCR00552,"Cursed Pirates of the Sea","Final Fantasy V",2002-02-28
OCR01581,"Dark Butz","Final Fantasy V",2007-05-29
OCR02207,"Dragon Wings","Final Fantasy V",2011-03-22
OCR02228,"Edge of Valor","Final Fantasy V",2011-04-25
OCR01515,"Fire Cross","Final Fantasy V",2006-10-10
OCR02094,"Gentle Fist","Final Fantasy V",2010-09-10
OCR01710,"Groove, Sweet Groove","Final Fantasy V",2008-05-10
OCR01352,"Harvest Hoedown","Final Fantasy V",2005-05-15
OCR02229,"In the Shadows","Final Fantasy V",2011-04-25
OCR02149,"Little Black Book","Final Fantasy V",2010-12-22
OCR02092,"Lore of the Ancients","Final Fantasy V",2010-09-10
OCR03340,"Micker Cripper Mime","Final Fantasy V",2016-04-25
OCR01718,"My Home, My Friends","Final Fantasy V",2008-05-26
OCR00465,"ROBOVoice","Final Fantasy V",2001-11-22
OCR02232,"Sinking Deeper","Final Fantasy V",2011-04-25
OCR01756,"The Heroes Emerge","Final Fantasy V",2008-09-16
OCR02091,"The Path to Glory","Final Fantasy V",2010-09-10
OCR02231,"Twisted Devil, Grinding Soul","Final Fantasy V",2011-04-25
OCR02093,"Vessel of the Void","Final Fantasy V",2010-09-10
OCR01627,"Wicked n' Floating","Final Fantasy V",2007-10-04
OCR02688,"13th Floor Demonstration","Final Fantasy VI",2013-07-01
OCR01697,"A Day in the Life of a Gambler","Final Fantasy VI",2008-03-29
OCR02687,"A Fistful of Nickels","Final Fantasy VI",2013-07-01
OCR03034,"A Legacy Forgotten","Final Fantasy VI",2014-12-04
OCR01308,"A Nightmare Before Kefka","Final Fantasy VI",2005-02-09
OCR02692,"A Simple Flip Can Change Fate","Final Fantasy VI",2013-07-01
OCR01946,"A World of Decisions","Final Fantasy VI",2009-12-11
OCR01179,"Agony of Obscuration","Final Fantasy VI",2004-05-23
OCR02498,"All Who Oppose","Final Fantasy VI",2012-09-25
OCR01533,"Allfactory","Final Fantasy VI",2006-12-14
OCR03367,"Anathema, Quietus & Apotheosis","Final Fantasy VI",2016-06-15
OCR01081,"Anthem of Exile","Final Fantasy VI",2003-12-01
OCR02690,"Ascension of a Madman","Final Fantasy VI",2013-07-01
OCR00130,"Back to Towne (Arranged)","Final Fantasy VI",2000-09-30
OCR02757,"Bad Octopus","Final Fantasy VI",2013-10-14
OCR01304,"Battle on a New Continent","Final Fantasy VI",2005-01-22
OCR01135,"Battle Theme (Ivory Metal Mix)","Final Fantasy VI",2004-03-08
OCR01943,"Behind Enemy Lines","Final Fantasy VI",2009-12-03
OCR02796,"Black Genesis","Final Fantasy VI",2013-12-16
OCR02722,"Blackjack's Breakup Bossa","Final Fantasy VI",2013-08-12
OCR01582,"Cantata for Dancing: I. Mors ego sum mortis","Final Fantasy VI",2007-05-29
OCR01645,"Cantata for Dancing: II. Fuga Kefka","Final Fantasy VI",2007-11-11
OCR01433,"Canvas of Dreams","Final Fantasy VI",2005-12-03
OCR00199,"Celces (Dance)","Final Fantasy VI",2000-12-10
OCR00719,"Cid in the Factory","Final Fantasy VI",2002-07-25
OCR01839,"City Corner Lullaby","Final Fantasy VI",2009-05-08
OCR02960,"Courage ~ Failure ~ Rosebud","Final Fantasy VI",2014-08-21
OCR01605,"Cyanide","Final Fantasy VI",2007-08-10
OCR00899,"Dancing Madly (First Form)","Final Fantasy VI",2003-01-09
OCR00957,"Dancing Madly (Second Form)","Final Fantasy VI",2003-03-25
OCR02723,"Dark Blue Substance","Final Fantasy VI",2013-08-12
OCR03083,"Day of Ruin","Final Fantasy VI",2015-02-10
OCR01360,"Deadly Promises","Final Fantasy VI",2005-06-02
OCR00205,"Death on the Snowfield","Final Fantasy VI",2000-12-16
OCR02645,"Demake Some Money","Final Fantasy VI",2013-04-26
OCR00852,"Deserted Industry","Final Fantasy VI",2002-11-23
OCR01990,"Desertion","Final Fantasy VI",2010-02-17
OCR00239,"Devil's Lab (Acid Mix)","Final Fantasy VI",2001-01-07
OCR00250,"DevilSLAB","Final Fantasy VI",2001-01-17
OCR01685,"Dirt Devil","Final Fantasy VI",2008-02-17
OCR02506,"Dramatic Dark World","Final Fantasy VI",2012-10-10
OCR03094,"Elegy for a Ruined World","Final Fantasy VI",2015-02-24
OCR00744,"Enchanted Esper","Final Fantasy VI",2002-08-21
OCR00750,"Eres des Points","Final Fantasy VI",2002-08-24
OCR02695,"Event Horizon","Final Fantasy VI",2013-07-01
OCR03331,"Evisceration","Final Fantasy VI",2016-04-11
OCR02836,"Experiments of a Fiend","Final Fantasy VI",2014-02-20
OCR02720,"Fiddlesticks Rag","Final Fantasy VI",2013-08-12
OCR02719,"Following Forgotten","Final Fantasy VI",2013-08-12
OCR00183,"Forever Rachel","Final Fantasy VI",2000-11-25
OCR02212,"Forever, Young Rachel","Final Fantasy VI",2011-03-29
OCR00139,"Gau's Lament","Final Fantasy VI",2000-10-12
OCR03192,"Gestahlian Sonata","Final Fantasy VI",2015-08-17
OCR02766,"Ghetto Palm","Final Fantasy VI",2013-10-30
OCR02885,"Go-Go Gadget Gonkulator","Final Fantasy VI",2014-05-09
OCR02691,"Gobble, Snarf, Snap","Final Fantasy VI",2013-07-01
OCR01415,"Greater Alchemic Patchwork","Final Fantasy VI",2005-10-15
OCR02246,"Heaven Awaits","Final Fantasy VI",2011-05-30
OCR01831,"Inspector Strago","Final Fantasy VI",2009-04-17
OCR02693,"Katabasis","Final Fantasy VI",2013-07-01
OCR01695,"Keep Out the Veldt","Final Fantasy VI",2008-03-23
OCR00977,"Kefka Goes Carnival","Final Fantasy VI",2003-04-29
OCR00510,"Kefka Goes West","Final Fantasy VI",2002-01-22
OCR00426,"La Locura del Kefka","Final Fantasy VI",2001-09-17
OCR02854,"La Montaña de los Caballos Jóvenes","Final Fantasy VI",2014-03-24
OCR01555,"Lamentations","Final Fantasy VI",2007-02-20
OCR00699,"Let Us Dance in the Dark Phantom Phorest","Final Fantasy VI",2002-07-05
OCR01358,"Little Painter Girl","Final Fantasy VI",2005-05-29
OCR01604,"Locke's Theme for Brass Quintet","Final Fantasy VI",2007-08-07
OCR02079,"Lost Forever","Final Fantasy VI",2010-08-08
OCR01868,"Magicite Made My Mind Melt","Final Fantasy VI",2009-07-09
OCR03519,"Magitek Research Symphony","Final Fantasy VI",2017-03-23
OCR00954,"Mode Serpent","Final Fantasy VI",2003-03-21
OCR03317,"Monument of Non-Existence","Final Fantasy VI",2016-03-08
OCR00582,"Morning After (Hangover)","Final Fantasy VI",2002-03-29
OCR00551,"Mystic Forest (Back to the Roots Mix)","Final Fantasy VI",2002-02-27
OCR00068,"North Medley","Final Fantasy VI",2000-06-18
OCR00718,"Oldschool Opening","Final Fantasy VI",2002-07-24
OCR00772,"Phantom Midnight","Final Fantasy VI",2002-09-13
OCR02388,"Prancing Dad","Final Fantasy VI",2012-02-17
OCR02686,"Prologue","Final Fantasy VI",2013-07-01
OCR02696,"Pure Essence","Final Fantasy VI",2013-07-01
OCR01798,"Purity","Final Fantasy VI",2009-01-10
OCR00990,"Rachel's Gift","Final Fantasy VI",2003-05-24
OCR00178,"Relm's Weepy Loop","Final Fantasy VI",2000-11-21
OCR01309,"Return of the Phoenix","Final Fantasy VI",2005-02-09
OCR02716,"Reverie of the Broken Phoenix","Final Fantasy VI",2013-08-12
OCR02793,"Royal Blood, Fraternal Love","Final Fantasy VI",2013-12-09
OCR02482,"Ruffneck Terra","Final Fantasy VI",2012-08-22
OCR00748,"Ruined Skies","Final Fantasy VI",2002-08-24
OCR03031,"Savage Triumph","Final Fantasy VI",2014-12-02
OCR01752,"Searching the Woods","Final Fantasy VI",2008-09-06
OCR01356,"Seized with Fury","Final Fantasy VI",2005-05-23
OCR00271,"Shadow's Theme","Final Fantasy VI",2001-02-08
OCR01331,"Shadows Among the Ruins","Final Fantasy VI",2005-03-17
OCR02698,"Slam Davis","Final Fantasy VI",2013-07-01
OCR02689,"Smoke and Clouds","Final Fantasy VI",2013-07-01
OCR00893,"Smooth Alexander","Final Fantasy VI",2003-01-02
OCR01130,"Squaresoft Variation","Final Fantasy VI",2004-02-28
OCR03025,"Strange World","Final Fantasy VI",2014-11-20
OCR02694,"Tastes Like Victory","Final Fantasy VI",2013-07-01
OCR00255,"Terra (Black Crystal Mix)","Final Fantasy VI",2001-01-26
OCR01762,"Terra Haute","Final Fantasy VI",2008-10-08
OCR00206,"Terra in Black","Final Fantasy VI",2000-12-16
OCR00401,"Terra Tripmachine","Final Fantasy VI",2001-08-08
OCR02700,"Terra's Resolve","Final Fantasy VI",2013-07-01
OCR02718,"The 6th Kingdom","Final Fantasy VI",2013-08-12
OCR00286,"The Arab Painting","Final Fantasy VI",2001-02-24
OCR00163,"The Atomizer","Final Fantasy VI",2000-11-07
OCR00701,"The Endless Search","Final Fantasy VI",2002-07-08
OCR02721,"The Endless Stair","Final Fantasy VI",2013-08-12
OCR00638,"The Engineer, Cid (Factory Mix)","Final Fantasy VI",2001-11-22
OCR01330,"The Haunted Train Disco","Final Fantasy VI",2005-03-17
OCR01864,"The Hot Pink of Blues","Final Fantasy VI",2009-06-30
OCR02699,"The Impresario","Final Fantasy VI",2013-07-01
OCR02724,"The Megiddo Brigade","Final Fantasy VI",2013-08-12
OCR03141,"The Narshemellow","Final Fantasy VI",2015-06-01
OCR03022,"The Nightmare Oath","Final Fantasy VI",2014-11-17
OCR01310,"The Sveldt","Final Fantasy VI",2005-02-09
OCR02697,"There Will Be Blood","Final Fantasy VI",2013-07-01
OCR03153,"There's Nothing Like Flying","Final Fantasy VI",2015-06-11
OCR01818,"This Hazy Place","Final Fantasy VI",2009-03-16
OCR02725,"Till We Meet Again","Final Fantasy VI",2013-08-12
OCR01766,"TimeShock","Final Fantasy VI",2008-10-18
OCR00235,"Tina, Don't Fall","Final Fantasy VI",2001-01-05
OCR02989,"Toxic","Final Fantasy VI",2014-09-22
OCR02717,"Trauermarsch","Final Fantasy VI",2013-08-12
OCR01097,"Umaro Uematsu","Final Fantasy VI",2004-01-07
OCR03055,"Umaro's New Groove","Final Fantasy VI",2014-12-29
OCR01857,"Vision of Celes","Final Fantasy VI",2009-06-17
OCR01228,"A Foray into the Eastern Horizons","Final Fantasy VII",2004-08-06
OCR01658,"A Life Without Parole","Final Fantasy VII",2007-12-20
OCR00811,"A World of Piano","Final Fantasy VII",2002-10-17
OCR00907,"Acoustic Fireworks","Final Fantasy VII",2003-01-19
OCR01694,"Adrenalyne Kyck","Final Fantasy VII",2008-03-19
OCR01295,"Aeris Lives","Final Fantasy VII",2005-01-02
OCR00440,"Aeris Summer Samba","Final Fantasy VII",2001-10-11
OCR01964,"Aire Tam Break","Final Fantasy VII",2009-12-29
OCR00720,"An Answered Cry","Final Fantasy VII",2002-07-25
OCR00247,"Ancient Steps Retraced","Final Fantasy VII",2001-01-13
OCR01306,"Ascension to Cosmo Canyon","Final Fantasy VII",2005-01-29
OCR02340,"BadAzz","Final Fantasy VII",2011-12-06
OCR01363,"Beyond Midgar","Final Fantasy VII",2005-06-11
OCR01623,"Black Wing Metamorphosis","Final Fantasy VII",2007-09-14
OCR02895,"Captain of the Skies","Final Fantasy VII",2014-05-22
OCR00775,"Chocarena","Final Fantasy VII",2002-09-16
OCR00170,"Cid (Solace Simplicity)","Final Fantasy VII",2000-11-14
OCR00956,"Cid Sends a Dream to the Undersea Palace","Final Fantasy VII",2003-03-22
OCR01078,"Climhazzard Rush","Final Fantasy VII",2003-11-27
OCR00095,"Costa del Sol DANCE","Final Fantasy VII",2000-08-07
OCR01909,"Crying Planet","Final Fantasy VII",2009-09-29
OCR01615,"Damn Those Turks!","Final Fantasy VII",2007-09-14
OCR01634,"Daydreaming Again","Final Fantasy VII",2007-10-21
OCR02499,"Death, Rebirth, Life - 1986","Final Fantasy VII",2012-09-28
OCR01612,"Deliverance of the Heart","Final Fantasy VII",2007-09-14
OCR02464,"Duel of the Blades","Final Fantasy VII",2012-07-03
OCR01841,"Every Story Begins with a Name","Final Fantasy VII",2009-05-10
OCR01620,"Fading Entity","Final Fantasy VII",2007-09-14
OCR01253,"Fight On","Final Fantasy VII",2004-10-13
OCR00455,"Fighting (7/8 Jazz Spiritual)","Final Fantasy VII",2001-11-13
OCR00063,"Final Ecstasy","Final Fantasy VII",2000-06-13
OCR01021,"Fluss der Liebe","Final Fantasy VII",2003-08-11
OCR01663,"Frozen Landscape","Final Fantasy VII",2007-12-25
OCR01614,"Full Frontal Assault","Final Fantasy VII",2007-09-14
OCR01901,"Full of Hope","Final Fantasy VII",2009-09-11
OCR03117,"G-R-O-O-V-E of a God","Final Fantasy VII",2015-04-10
OCR00723,"Galvanized Boss","Final Fantasy VII",2002-07-28
OCR01644,"Golden Feathers","Final Fantasy VII",2007-11-11
OCR01704,"Harmony of Destruction","Final Fantasy VII",2008-04-20
OCR00828,"Heart's Anxiety","Final Fantasy VII",2002-11-02
OCR02247,"Heavy Mako","Final Fantasy VII",2011-06-03
OCR03292,"Holding Hands","Final Fantasy VII",2016-01-14
OCR03241,"Honour, Pride, Green Tea","Final Fantasy VII",2015-10-20
OCR03252,"How Many Heavens Are There?","Final Fantasy VII",2015-11-03
OCR01622,"Hydrophone Breakdown","Final Fantasy VII",2007-09-14
OCR01100,"Internal Affliction","Final Fantasy VII",2004-01-11
OCR00971,"It's Difficult to Stand When You're on Acid","Final Fantasy VII",2003-04-19
OCR01636,"JENOVA Celestial","Final Fantasy VII",2007-10-27
OCR01164,"Jenova for Classical Piano","Final Fantasy VII",2004-04-25
OCR01682,"Jenova Returns","Final Fantasy VII",2008-02-12
OCR00726,"JENOVAD Trance","Final Fantasy VII",2002-07-31
OCR03384,"Judgement-Funkadelic","Final Fantasy VII",2016-07-07
OCR01002,"Light and Flakey","Final Fantasy VII",2003-07-02
OCR01640,"Lunatic Moon","Final Fantasy VII",2007-11-03
OCR03195,"Make Who React Her","Final Fantasy VII",2015-08-25
OCR01758,"Mako Eyes","Final Fantasy VII",2008-09-22
OCR01626,"Mark of the Beatsmith","Final Fantasy VII",2007-09-27
OCR01613,"Materia Junkie","Final Fantasy VII",2007-09-14
OCR02468,"Mother","Final Fantasy VII",2012-07-16
OCR01104,"Nanaki Searches for Truth","Final Fantasy VII",2004-01-18
OCR00233,"Neoteric Assembly","Final Fantasy VII",2001-01-05
OCR01722,"No Such Thing As the Promised Land","Final Fantasy VII",2008-06-07
OCR02562,"Not the Taxi You Whistled For","Final Fantasy VII",2012-12-18
OCR01008,"Of Transformants and Brevity","Final Fantasy VII",2003-07-13
OCR01655,"Omnislash","Final Fantasy VII",2007-12-09
OCR00910,"On That Day...","Final Fantasy VII",2003-01-24
OCR00369,"Oppressed Swamp Dub","Final Fantasy VII",2001-06-23
OCR00833,"Otanjoubi Cid","Final Fantasy VII",2002-11-07
OCR01260,"Philharmonic Suite: Finale","Final Fantasy VII",2004-10-30
OCR01011,"Philharmonic Suite: Part I","Final Fantasy VII",2003-07-17
OCR01162,"Prayer","Final Fantasy VII",2004-04-22
OCR00640,"Rape of a Planet","Final Fantasy VII",2001-12-24
OCR01621,"Rare Square","Final Fantasy VII",2007-09-14
OCR01579,"REAKTR.1","Final Fantasy VII",2007-05-13
OCR00311,"Red XIII Redux","Final Fantasy VII",2001-03-31
OCR01649,"Scenes from a Memory","Final Fantasy VII",2007-11-22
OCR01110,"Sector 7 Hath Wrought the Angel","Final Fantasy VII",2004-01-27
OCR02390,"Sephiroth's Deliverance","Final Fantasy VII",2012-02-23
OCR01689,"Sephiroth's Wake","Final Fantasy VII",2008-03-07
OCR01618,"Serenity","Final Fantasy VII",2007-09-14
OCR00469,"Seven Degrees of Judgment","Final Fantasy VII",2001-12-01
OCR01617,"Short Skirts","Final Fantasy VII",2007-09-14
OCR03539,"Shrouded Reactor","Final Fantasy VII",2017-05-03
OCR01715,"Son of Chaos","Final Fantasy VII",2008-05-18
OCR00959,"Space Station of the Ancients","Final Fantasy VII",2003-03-28
OCR01557,"Speed Limit","Final Fantasy VII",2007-02-27
OCR00584,"String Machine (Corel Prison Mix)","Final Fantasy VII",2002-04-09
OCR01671,"Suco de Melancia","Final Fantasy VII",2008-01-11
OCR00586,"Suffering Planet","Final Fantasy VII",2002-04-11
OCR01141,"Sweeter Than Honey","Final Fantasy VII",2004-03-19
OCR01619,"The Crossroads","Final Fantasy VII",2007-09-14
OCR01907,"The End","Final Fantasy VII",2009-09-25
OCR01913,"The Omen of Jenova","Final Fantasy VII",2009-10-05
OCR02335,"The Planet Is Dead","Final Fantasy VII",2011-11-28
OCR01847,"The Shinra Shuffle","Final Fantasy VII",2009-05-23
OCR01492,"The Twelfth Commandment","Final Fantasy VII",2006-07-04
OCR01067,"Those Chosen by the Medly","Final Fantasy VII",2003-11-06
OCR01667,"Too Much Fighting","Final Fantasy VII",2008-01-04
OCR01201,"Truth in Forgiveness Await","Final Fantasy VII",2004-06-19
OCR01148,"Turks in Pursuit","Final Fantasy VII",2004-03-29
OCR01616,"Valse Aeris","Final Fantasy VII",2007-09-14
OCR03528,"Vincent's Longing","Final Fantasy VII",2017-04-14
OCR00994,"Where Destiny Meets","Final Fantasy VII",2003-06-08
OCR01696,"Yet Even More Fighting","Final Fantasy VII",2008-03-26
OCR03546,"Attack on Dollet","Final Fantasy VIII",2017-05-17
OCR00411,"Breezy Beats","Final Fantasy VIII",2001-08-27
OCR00751,"Desperados","Final Fantasy VIII",2002-08-26
OCR01851,"Devotion & Deception","Final Fantasy VIII",2009-05-31
OCR02272,"Estharian Airs","Final Fantasy VIII",2011-08-03
OCR01349,"Everything = Nothing","Final Fantasy VIII",2005-05-06
OCR00264,"Eyes on Me (Not Faye Wong)","Final Fantasy VIII",2001-01-30
OCR00316,"Eyes on Me (Obsession)","Final Fantasy VIII",2001-04-09
OCR01033,"Fantasy Rush","Final Fantasy VIII",2003-09-03
OCR00495,"Final Jungle Fantasy","Final Fantasy VIII",2002-01-12
OCR03052,"Fisherman's Horizon (Christmas ver.)","Final Fantasy VIII",2014-12-17
OCR01559,"Fisherman's Revelation","Final Fantasy VIII",2007-03-04
OCR00641,"Liberi Fatali Overhaul","Final Fantasy VIII",2001-03-13
OCR00798,"Man with Another Trance Machine","Final Fantasy VIII",2002-10-05
OCR01391,"Moontang","Final Fantasy VIII",2005-08-18
OCR02248,"Night City Funk","Final Fantasy VIII",2011-06-06
OCR02386,"Of Dreams and Time","Final Fantasy VIII",2012-02-08
OCR00522,"Perdition Hardcore","Final Fantasy VIII",2002-02-01
OCR01061,"Rain in Chicago","Final Fantasy VIII",2003-10-28
OCR02284,"Ready to March","Final Fantasy VIII",2011-08-22
OCR01680,"Realization","Final Fantasy VIII",2008-02-09
OCR01991,"Seasons","Final Fantasy VIII",2010-02-21
OCR01948,"SeeD Mission","Final Fantasy VIII",2009-12-11
OCR02241,"SeeK","Final Fantasy VIII",2011-05-16
OCR02023,"Shine Tonight","Final Fantasy VIII",2010-04-16
OCR01165,"The Lost Horizon","Final Fantasy VIII",2004-04-28
OCR02531,"White Magic Is for Sissies","Final Fantasy VIII",2012-11-16
OCR01957,"A Fine Place to Live","Final Fantasy X",2009-12-15
OCR02837,"Al Bhed Ec Faent","Final Fantasy X",2014-02-20
OCR00374,"Ballad of the Sea","Final Fantasy X",2001-06-29
OCR02416,"Battle in the Far North","Final Fantasy X",2012-04-12
OCR01731,"Endless Skies","Final Fantasy X",2008-07-12
OCR00693,"Far from Home","Final Fantasy X",2002-06-30
OCR01118,"Guardian's Sending","Final Fantasy X",2004-02-07
OCR03138,"Guitar for Zanarkand","Final Fantasy X",2015-05-27
OCR01518,"How Much Longer","Final Fantasy X",2006-10-22
OCR01381,"Journey's End","Final Fantasy X",2005-07-21
OCR01903,"Judgement","Final Fantasy X",2009-09-14
OCR02883,"Just This Once","Final Fantasy X",2014-05-05
OCR03286,"Katumus","Final Fantasy X",2016-01-06
OCR03121,"Laguna Tides","Final Fantasy X",2015-04-21
OCR01560,"Lake in Ontario?","Final Fantasy X",2007-03-08
OCR02745,"Mountain Prayer","Final Fantasy X",2013-09-18
OCR02042,"No Escape, No Hurry","Final Fantasy X",2010-06-01
OCR02137,"Rondo Sanctuary","Final Fantasy X",2010-12-01
OCR02558,"Silence Before Repentance","Final Fantasy X",2012-12-12
OCR01537,"Summoner's Love","Final Fantasy X",2006-12-24
OCR02044,"That's Besaid the Point","Final Fantasy X",2010-06-03
OCR02737,"The Dreamer Departs","Final Fantasy X",2013-09-08
OCR01017,"The Final Summoning","Final Fantasy X",2003-08-03
OCR03429,"Those Who Seek the End","Final Fantasy X",2016-09-28
OCR02164,"Time Slips Away","Final Fantasy X",2011-01-20
OCR00617,"To Zanarkand Once Again","Final Fantasy X",2002-05-03
OCR01596,"Twilight of Ivory","Final Fantasy X",2007-07-01
OCR01521,"Via","Final Fantasy X",2006-11-03
OCR01441,"White Skies (Club Mix)","Final Fantasy X",2005-12-25
OCR02977,"Zanarkand String Quartet","Final Fantasy X",2014-09-08
OCR01342,"Chauffage au Gaz","Final Fantasy X-2",2005-04-16
OCR01357,"Under a New Moon","Final Fantasy X-2",2005-05-27
OCR02188,"A Cinematic Heaven","Final Fantasy XI Online",2011-02-23
OCR02680,"A Decent Challenge","Final Fantasy XI Online",2013-06-18
OCR01886,"Battling Despair at Dawn","Final Fantasy XI Online",2009-07-31
OCR02467,"Paradis","Final Fantasy XI Online",2012-07-14
OCR01748,"While San d'Oria Sleeps","Final Fantasy XI Online",2008-08-26
OCR03104,"Crystal Gradient","Final Fantasy XII",2015-03-17
OCR03570,"Dream of Salikawood","Final Fantasy XII",2017-07-06
OCR03167,"Final Fantasy Forest Medley","Final Fantasy XII",2015-06-25
OCR02502,"RabaNasty","Final Fantasy XII",2012-10-05
OCR02669,"The Drum of Basswall","Final Fantasy XII",2013-06-03
OCR01719,"The Winds of Inishmore","Final Fantasy XII",2008-05-30
OCR02242,"Blue Skies","Final Fantasy XIII",2011-05-19
OCR00930,"Adrenaline Rush","Final Fight CD",2003-02-20
OCR01287,"Etude for Piano in F# minor","Fire Emblem: Shadow Dragon and the Blade of Light",2004-12-18
OCR03225,"Contrapuntal Field","Fittest",2015-09-24
OCR01977,"Morse's Morsecode","Fittest",2010-01-24
OCR01637,"Memory Leak Suite","Flashback: The Quest for Identity",2007-10-28
OCR01054,"Nostalgy Dimension","Flashback: The Quest for Identity",2003-10-15
OCR03080,"Pearly Gates","Flimbo's Quest",2015-02-06
OCR03233,"A Mystic Lineage","Freedom Planet",2015-10-01
OCR03227,"Intercept","Freedom Planet",2015-09-28
OCR00824,"Panic at Camp Crystal","Friday the 13th",2002-10-31
OCR00196,"Frog Jam Stomp Box","Frogger",2000-12-05
OCR00078,"Funkiphibian Dub","Frogger",2000-07-13
OCR01275,"Infinite Natalie","Front Mission",2004-11-27
OCR03137,"Faster Than Rock","FTL: Faster Than Light",2015-05-22
OCR00491,"Furry in the Forest","Fury of the Furries",2001-12-31
OCR00844,"Swimming Furries","Fury of the Furries",2002-11-16
OCR03467,"ZED EX FUTURE '85","Future Games",2016-12-19
OCR02341,"Real American Hero","G.I. Joe: A Real American Hero",2011-12-06
OCR01041,"Credits Theme (ZZ Badnusty Mix)","Gaiares",2003-09-20
OCR00560,"Stage 1 Theme (The T-Braster Mix)","Gaiares",2002-03-07
OCR01248,"Gargoyle on Broadway","Gargoyle's Quest",2004-09-30
OCR00204,"GAUNTLET!!","Gauntlet",2000-12-16
OCR01320,"Blue Wizard Is About to Die","Gauntlet III: The Final Quest",2005-02-26
OCR02917,"Dancing Spirits","Getsu Fuuma Den",2014-06-24
OCR01961,"Ghosts'n Condoms","Ghosts'n Goblins",2009-12-21
OCR00004,"Trance Version","Ghosts'n Goblins",2000-02-09
OCR01347,"Wanka Factory","Ghosts'n Goblins",2005-04-30
OCR01478,"Poltergeist Mix","Ghouls'n Ghosts",2006-05-27
OCR00467,"Psycho Underpants","Ghouls'n Ghosts",2001-11-22
OCR02317,"FML (If I Could Drift Away)","Gitaroo Man",2011-10-28
OCR03385,"More Than MoN","Global Gladiators",2016-07-11
OCR01589,"Minotaur Nightmares","God of War",2007-06-19
OCR02374,"Wrath Industrial","God of War",2012-01-21
OCR01764,"Kabuki Frogs","Goemon's Great Adventure",2008-10-12
OCR00011,"Death Adder Trance","Golden Axe",2000-02-11
